voter.id,treatment,victim.status,ge2000,ge2002,fam.members,age,party,sex,pct.white,median.income
360,0,3,Y,1,1,79,D,F,0.907913983,47857
361,0,3,Y,1,2,81,N,M,0.907913983,47857
362,0,3,Y,1,2,39,N,M,0.907913983,47857
363,0,2,N,0,3,22,N,M,0.974474013,52230
364,1,3,Y,1,1,81,N,M,0.969295025,57708
365,0,3,Y,1,3,58,D,F,0.74594599,100741
366,0,3,N,0,3,59,D,M,0.74594599,100741
367,0,3,Y,1,4,47,N,F,0.907913983,47857
368,0,3,Y,1,4,54,D,M,0.907913983,47857
369,0,3,Y,1,1,37,N,M,0.949916005,33444
370,0,2,Y,0,3,77,N,F,0.950716972,74800
371,0,2,Y,1,3,79,N,M,0.950716972,74800
372,0,3,N,0,2,90,N,F,0.88546598,61346
373,0,3,N,0,2,97,N,M,0.88546598,61346
374,0,3,N,1,1,79,D,M,0.862856984,55625
375,0,3,Y,1,2,84,N,F,0.862856984,55625
376,0,3,N,0,1,57,N,M,0.971332014,60491
377,1,3,N,0,1,83,D,M,0.611315012,42063
378,0,3,Y,0,4,61,D,M,0.918968976,86803
379,0,3,Y,1,4,59,D,F,0.918968976,86803
380,0,3,N,0,2,36,I,F,0.949916005,33444
381,0,3,N,0,2,78,N,F,0.800365984,39506
382,0,2,A,1,2,75,N,M,0.909578979,71492
383,0,3,Y,0,1,72,N,F,0.924039006,52179
384,0,2,Y,1,4,61,N,F,0.907792985,51632
385,0,3,N,0,3,55,N,M,0.922900975,48370
386,0,3,N,0,2,29,N,M,0.943654001,31961
387,0,2,N,0,4,73,N,F,0.975678027,59792
388,0,3,Y,1,2,54,N,M,0.975678027,59792
389,0,3,Y,1,2,72,N,F,0.808637977,67917
390,0,3,Y,1,2,73,N,M,0.808637977,67917
391,0,2,Y,1,4,63,N,M,0.907792985,51632
392,0,3,N,0,2,37,N,F,0.825720012,94137
393,1,3,Y,0,2,80,N,F,0.880328,66033
394,0,3,Y,1,2,67,D,M,0.912138999,87547
395,0,3,Y,1,2,66,D,M,0.912138999,87547
396,0,3,N,0,2,89,D,F,0.652695,61076
397,0,3,Y,1,2,73,N,F,0.907792985,51632
398,0,3,N,0,2,74,N,M,0.907792985,51632
399,0,2,Y,1,4,60,N,F,0.922900975,48370
400,0,2,Y,1,4,64,N,M,0.922900975,48370
401,0,3,N,0,2,62,N,F,0.94156301,73080
402,0,3,N,0,1,57,D,F,0.94156301,73080
403,0,3,N,0,2,63,D,M,0.652695,61076
404,0,3,Y,1,2,60,N,F,0.902877986,74583
405,0,3,N,1,2,73,D,M,0.652695,61076
406,0,3,N,1,2,73,N,F,0.652695,61076
407,0,3,Y,1,2,55,D,F,0.94867301,53311
408,0,3,Y,1,2,55,D,M,0.94867301,53311
409,0,3,N,0,2,73,N,F,0.935886979,45750
410,0,3,N,0,2,77,N,M,0.935886979,45750
411,0,3,Y,1,1,78,N,F,0.935886979,45750
412,0,3,Y,1,2,82,D,F,0.864688993,69722
413,0,3,N,0,2,79,D,M,0.864688993,69722
414,0,3,Y,0,2,86,D,M,0.833333015,72784
415,0,3,N,0,2,84,D,F,0.833333015,72784
416,0,3,N,0,1,80,D,F,0.936169982,75247
417,0,3,Y,1,3,80,N,F,0.922900975,48370
418,0,3,N,0,3,83,N,M,0.922900975,48370
419,0,3,Y,0,2,49,N,F,0.891439021,51182
420,0,3,Y,0,2,47,N,M,0.891439021,51182
421,0,3,Y,1,3,60,N,M,0.76335901,84021
422,0,3,Y,1,3,56,N,F,0.76335901,84021
423,0,3,N,0,1,89,N,F,0.910133004,69375
424,1,3,Y,0,4,57,N,F,0.641631007,62303
425,1,3,Y,0,4,60,N,M,0.641631007,62303
426,0,3,N,0,1,52,N,F,0.862187028,53359
427,1,3,Y,1,2,56,N,M,0.641631007,62303
428,0,2,Y,0,2,53,N,F,0.641631007,62303
429,0,3,Y,1,2,74,D,M,0.910827994,54091
430,0,3,Y,1,2,75,D,F,0.910827994,54091
431,1,3,Y,1,2,55,N,F,0.641631007,62303
432,0,3,Y,0,2,79,N,F,0.910827994,54091
433,0,3,N,0,2,85,N,F,0.910133004,69375
434,0,3,Y,0,2,85,D,F,0.84828198,57188
435,0,3,Y,1,1,42,D,M,0.862187028,53359
436,0,3,A,0,3,64,D,M,0.940741003,87099
437,0,3,Y,0,2,82,D,F,0.910133004,69375
438,0,3,Y,1,2,67,N,F,0.802335024,79341
439,1,3,Y,0,1,27,N,M,0.949916005,33444
441,0,3,Y,1,3,50,D,M,0.943654001,31961
442,0,3,N,0,2,92,D,M,0.949191988,102968
443,0,3,Y,1,1,83,D,M,0.949191988,102968
444,1,3,Y,1,2,69,N,F,0.949191988,102968
445,1,3,Y,1,2,69,N,M,0.949191988,102968
446,0,3,N,0,2,82,D,F,0.949191988,102968
447,0,3,Y,1,2,66,D,F,0.949191988,102968
