treatment,victim.status,voted_2000,voted_2002,fam.members,age,party,sex,pct.white,median.income
0,3,N,0,2,49,N,M,0.974474013,52230
0,2,N,0,1,86,D,M,0.948059976,80160
0,3,Y,1,2,47,N,M,0.802335024,79341
0,2,N,0,3,67,D,M,0.951496005,41779
0,2,Y,0,3,64,D,F,0.951496005,41779
0,2,Y,0,3,37,D,F,0.951496005,41779
0,3,Y,0,2,71,N,F,0.586320996,32850
0,3,Y,1,2,68,D,M,0.980313003,51250
0,3,N,0,1,76,D,M,0.457507014,42232
0,2,Y,1,3,59,N,M,0.931276977,55156
1,3,Y,0,1,77,N,F,0.824307024,71667
0,3,N,0,1,81,D,M,0.905417979,39688
0,3,Y,1,1,52,D,F,0.907913983,47857
0,3,Y,1,1,79,D,F,0.907913983,47857
0,3,Y,1,2,81,N,M,0.907913983,47857
0,3,Y,1,2,39,N,M,0.907913983,47857
0,2,N,0,3,22,N,M,0.974474013,52230
1,3,Y,1,1,81,N,M,0.969295025,57708
0,3,Y,1,3,58,D,F,0.74594599,100741
0,3,N,0,3,59,D,M,0.74594599,100741
0,3,Y,1,4,47,N,F,0.907913983,47857
0,3,Y,1,4,54,D,M,0.907913983,47857
0,3,Y,1,1,37,N,M,0.949916005,33444
0,2,Y,0,3,77,N,F,0.950716972,74800
0,2,Y,1,3,79,N,M,0.950716972,74800
0,3,N,0,2,90,N,F,0.88546598,61346
0,3,N,0,2,97,N,M,0.88546598,61346
0,3,N,1,1,79,D,M,0.862856984,55625
0,3,Y,1,2,84,N,F,0.862856984,55625
0,3,N,0,1,57,N,M,0.971332014,60491
1,3,N,0,1,83,D,M,0.611315012,42063
0,3,Y,0,4,61,D,M,0.918968976,86803
0,3,Y,1,4,59,D,F,0.918968976,86803
0,3,N,0,2,36,I,F,0.949916005,33444
0,3,N,0,2,78,N,F,0.800365984,39506
0,2,A,1,2,75,N,M,0.909578979,71492
0,3,Y,0,1,72,N,F,0.924039006,52179
0,2,Y,1,4,61,N,F,0.907792985,51632
0,3,N,0,3,55,N,M,0.922900975,48370
0,3,N,0,2,29,N,M,0.943654001,31961
0,2,N,0,4,73,N,F,0.975678027,59792
0,3,Y,1,2,54,N,M,0.975678027,59792
0,3,Y,1,2,72,N,F,0.808637977,67917
0,3,Y,1,2,73,N,M,0.808637977,67917
0,2,Y,1,4,63,N,M,0.907792985,51632
0,3,N,0,2,37,N,F,0.825720012,94137
1,3,Y,0,2,80,N,F,0.880328,66033
0,3,Y,1,2,67,D,M,0.912138999,87547
0,3,Y,1,2,66,D,M,0.912138999,87547
0,3,N,0,2,89,D,F,0.652695,61076
0,3,Y,1,2,73,N,F,0.907792985,51632
0,3,N,0,2,74,N,M,0.907792985,51632
0,2,Y,1,4,60,N,F,0.922900975,48370
0,2,Y,1,4,64,N,M,0.922900975,48370
0,3,N,0,2,62,N,F,0.94156301,73080
0,3,N,0,1,57,D,F,0.94156301,73080
0,3,N,0,2,63,D,M,0.652695,61076
0,3,Y,1,2,60,N,F,0.902877986,74583
0,3,N,1,2,73,D,M,0.652695,61076
0,3,N,1,2,73,N,F,0.652695,61076
0,3,Y,1,2,55,D,F,0.94867301,53311
0,3,Y,1,2,55,D,M,0.94867301,53311
0,3,N,0,2,73,N,F,0.935886979,45750
0,3,N,0,2,77,N,M,0.935886979,45750
0,3,Y,1,1,78,N,F,0.935886979,45750
0,3,Y,1,2,82,D,F,0.864688993,69722
0,3,N,0,2,79,D,M,0.864688993,69722
0,3,Y,0,2,86,D,M,0.833333015,72784
0,3,N,0,2,84,D,F,0.833333015,72784
0,3,N,0,1,80,D,F,0.936169982,75247
0,3,Y,1,3,80,N,F,0.922900975,48370
0,3,N,0,3,83,N,M,0.922900975,48370
0,3,Y,0,2,49,N,F,0.891439021,51182
0,3,Y,0,2,47,N,M,0.891439021,51182
0,3,Y,1,3,60,N,M,0.76335901,84021
0,3,Y,1,3,56,N,F,0.76335901,84021
0,3,N,0,1,89,N,F,0.910133004,69375
1,3,Y,0,4,57,N,F,0.641631007,62303
1,3,Y,0,4,60,N,M,0.641631007,62303
0,3,N,0,1,52,N,F,0.862187028,53359
1,3,Y,1,2,56,N,M,0.641631007,62303
0,2,Y,0,2,53,N,F,0.641631007,62303
0,3,Y,1,2,74,D,M,0.910827994,54091
0,3,Y,1,2,75,D,F,0.910827994,54091
1,3,Y,1,2,55,N,F,0.641631007,62303
0,3,Y,0,2,79,N,F,0.910827994,54091
0,3,N,0,2,85,N,F,0.910133004,69375
0,3,Y,0,2,85,D,F,0.84828198,57188
0,3,Y,1,1,42,D,M,0.862187028,53359
0,3,A,0,3,64,D,M,0.940741003,87099
0,3,Y,0,2,82,D,F,0.910133004,69375
0,3,Y,1,2,67,N,F,0.802335024,79341
1,3,Y,0,1,27,N,M,0.949916005,33444
0,3,Y,1,3,50,D,M,0.943654001,31961
0,3,N,0,2,92,D,M,0.949191988,102968
0,3,Y,1,1,83,D,M,0.949191988,102968
1,3,Y,1,2,69,N,F,0.949191988,102968
1,3,Y,1,2,69,N,M,0.949191988,102968
0,3,N,0,2,82,D,F,0.949191988,102968
0,3,Y,1,2,66,D,F,0.949191988,102968
0,3,N,0,2,71,D,M,0.949191988,102968
0,3,Y,1,4,58,N,F,0.916006982,53897
0,3,Y,1,4,51,N,M,0.916006982,53897
0,3,Y,1,2,54,D,F,0.916006982,53897
0,3,Y,1,2,54,D,M,0.916006982,53897
0,3,Y,1,3,54,N,F,0.916006982,53897
0,3,Y,1,3,54,N,M,0.916006982,53897
0,3,Y,1,2,76,D,F,0.895146012,76375
0,3,Y,1,4,64,D,F,0.902877986,74583
0,3,Y,1,4,67,D,M,0.902877986,74583
0,3,Y,0,3,57,N,M,0.889468014,73500
0,3,Y,1,2,88,D,F,0.780417025,51581
0,3,Y,0,1,88,D,F,0.753017008,89775
0,3,Y,1,2,56,N,F,0.776299,52058
0,3,Y,1,2,61,D,M,0.776299,52058
0,3,Y,1,4,55,D,F,0.902877986,74583
0,3,Y,1,4,54,D,M,0.902877986,74583
0,3,Y,0,3,52,N,F,0.902043998,58986
0,3,Y,0,3,54,N,M,0.902043998,58986
0,3,Y,0,1,78,N,F,0.887471974,56824
0,3,Y,1,1,86,D,M,0.800788999,56296
1,2,Y,0,1,34,N,F,0.949916005,33444
0,3,Y,0,1,61,D,F,0.943654001,31961
1,3,A,0,2,59,N,F,0.659065008,60288
1,3,A,0,2,63,N,M,0.659065008,60288
1,3,N,0,3,72,N,M,0.659065008,60288
1,3,Y,1,3,66,N,F,0.659065008,60288
0,3,Y,0,2,39,D,M,0.949916005,33444
0,3,N,0,1,88,D,M,0.800788999,56296
0,3,Y,1,2,100,N,F,0.888014972,76094
0,3,Y,1,2,56,N,F,0.949916005,33444
0,3,Y,1,2,52,N,M,0.949916005,33444
0,3,Y,1,2,78,D,F,0.786942005,99281
0,3,Y,1,2,78,D,M,0.786942005,99281
0,3,Y,1,1,79,D,F,0.776299,52058
1,3,Y,1,2,65,N,F,0.786942005,99281
1,3,Y,1,2,76,N,M,0.786942005,99281
0,3,Y,1,2,48,D,M,0.798907995,36998
0,3,Y,1,2,48,D,M,0.798907995,36998
0,3,Y,0,3,44,N,M,0.964960992,34293
0,3,N,0,3,75,N,M,0.964960992,34293
0,3,N,0,3,57,N,F,0.786942005,99281
0,3,Y,1,3,61,N,M,0.786942005,99281
0,3,Y,1,1,77,N,F,0.953584015,58304
0,3,Y,1,3,67,D,F,0.786942005,99281
0,3,Y,1,3,73,N,M,0.786942005,99281
0,3,Y,1,2,71,N,F,0.87956202,43333
0,3,Y,1,2,38,N,F,0.94867301,53311
0,3,Y,1,2,40,N,M,0.883683026,82396
0,3,Y,1,2,58,D,F,0.953584015,58304
0,3,Y,0,2,56,D,M,0.953584015,58304
0,3,N,0,1,67,N,F,0.866087019,114731
0,3,N,0,1,27,N,M,0.949916005,33444
0,3,Y,1,2,66,N,M,0.903837025,53462
0,3,Y,1,1,66,N,F,0.903837025,53462
0,3,Y,1,2,81,D,F,0.943575978,84501
0,3,Y,1,2,81,D,M,0.943575978,84501
0,3,Y,1,1,88,N,F,0.943575978,84501
0,3,Y,1,3,61,D,F,0.940741003,87099
0,3,Y,1,3,59,N,M,0.907913983,47857
0,3,Y,1,3,54,N,F,0.907913983,47857
