eduyrs,female,close_far_right,minority,father_citizen,father_secondary,years_to_reform
13,1,0,1,0,1,16
12,0,0,1,0,1,-29
13,0,0,0,1,1,-12
13,0,0,1,1,NA,5
13,0,0,1,0,1,16
11,1,0,0,1,1,-18
13,1,0,0,1,1,13
13,0,0,1,0,1,-12
13,1,0,1,0,1,-5
13,1,0,1,0,NA,1
13,1,0,0,1,1,19
4,1,0,0,1,1,11
10,0,0,0,1,1,11
13,0,0,1,0,NA,-26
12,0,0,1,1,1,19
13,1,0,0,1,1,16
12,1,0,1,0,NA,-23
13,0,0,1,0,1,-4
11,1,0,1,1,NA,1
8,0,0,1,0,1,-3
10,1,0,1,0,1,7
13,1,0,0,1,1,17
13,0,0,1,0,1,16
13,1,0,0,1,1,0
12,1,0,1,1,1,-9
10,0,0,1,0,NA,-24
13,1,0,0,1,1,-12
13,1,0,1,0,1,8
13,1,0,1,0,1,-8
12,1,0,1,1,1,-36
13,0,0,1,0,NA,19
13,0,0,1,0,NA,15
12,1,0,1,0,1,-31
13,1,0,1,0,1,7
13,0,0,1,0,1,-9
9,1,0,1,0,1,-34
13,1,0,1,0,1,-18
13,0,0,1,0,1,2
13,0,0,1,0,1,-9
13,1,0,1,0,1,-15
13,1,0,1,0,1,-11
9,1,0,1,0,NA,-26
13,1,0,1,0,1,6
13,1,0,1,0,1,-7
12,0,0,1,0,1,-2
10,0,0,1,0,1,-8
13,0,0,1,0,1,-24
10,1,0,1,0,0,-27
13,0,0,1,0,NA,-24
12,0,0,1,0,1,2
11,1,0,1,0,0,-3
13,1,0,1,0,1,-9
13,1,1,1,0,NA,-3
12,1,0,1,0,1,-14
13,0,0,1,0,0,-1
13,0,0,1,0,1,6
13,0,0,1,1,1,-20
12,1,0,1,0,0,-32
12,1,0,1,0,1,-10
10,1,0,1,0,1,-27
13,1,0,1,0,1,18
13,0,0,1,0,0,-33
13,0,0,1,0,1,-29
9,1,0,1,0,0,-25
13,0,0,1,0,0,-38
11,0,0,1,1,1,11
13,0,0,1,0,1,14
12,0,0,1,0,1,10
12,1,0,1,0,1,16
10,0,0,1,0,0,-12
9,1,0,1,0,1,-25
13,0,0,1,0,1,-38
13,1,0,1,0,1,11
10,0,0,1,0,0,-26
10,1,0,1,0,1,-22
9,0,0,1,0,1,-28
11,1,0,1,0,1,-3
10,1,0,1,0,1,-12
13,1,0,1,1,1,-2
11,0,0,1,0,1,-11
11,0,0,1,0,1,5
12,1,0,1,0,1,10
13,1,0,1,0,1,-27
13,1,0,1,1,1,-3
13,1,0,1,0,1,-8
13,1,0,1,0,1,-29
10,0,0,1,0,1,-14
10,0,0,1,0,1,-3
13,0,0,1,0,1,-4
13,0,0,0,1,1,-26
13,1,0,1,0,1,-8
10,0,0,0,1,1,-8
10,1,0,1,0,1,-18
12,1,0,1,0,1,-26
13,0,0,1,0,1,14
11,1,0,1,0,1,-18
10,1,0,1,0,1,-21
9,1,0,1,0,1,-26
12,0,0,1,0,NA,18
9,0,0,1,0,1,-26
13,1,0,1,0,1,-32
13,0,0,1,1,1,-15
11,1,0,1,0,1,-18
13,0,0,1,0,1,-8
13,0,0,1,0,1,-26
11,1,0,1,1,1,-7
11,0,0,1,0,1,4
10,0,0,1,0,1,-22
10,0,0,1,0,1,16
11,0,0,1,0,1,-14
10,1,0,1,0,1,-9
10,0,0,1,0,1,8
12,1,0,1,1,1,-21
13,1,0,1,0,1,10
13,1,0,1,1,1,-12
12,1,0,1,0,1,-33
10,0,0,1,0,1,-23
13,0,0,1,0,1,11
13,1,1,1,0,1,9
13,1,0,1,0,1,19
11,1,0,1,0,0,-36
11,0,0,1,0,1,7
13,1,0,1,0,1,-21
13,0,0,1,0,1,-22
13,1,0,1,0,1,-11
9,0,0,1,1,1,-32
13,1,0,1,0,1,15
